answer	qid
in a lair	fables-06-1
The Mouse terrified	fables-06-2
do anything for him amused the Lion so much that he laughed aloud	fables-06-3
for game	fables-06-4
the Lion	fables-06-5
because a mouse ran into the face of the lion	fables-06-6
A trapper	fables-06-7
The lion	fables-06-8
gnawing the rope of the net with the tooth of the mouse	fables-06-9
Louisiana	blogs-03-1
The storm	blogs-03-2
Winds	blogs-03-3
President Bush	blogs-03-4
in Louisiana	blogs-03-5
The narrator went back to a store named Home Depot in order to purchase a portable generator .	blogs-03-6
had a large group of pine trees	blogs-03-7
because it owned a group of trees	blogs-03-8
The narrator brought the family of the narrator to the house of the parent of the narrator .	blogs-03-9
activated	blogs-06-1
treats	blogs-06-2
The husband of the narrator	blogs-06-3
shut the door of the oven in order to prevent the fire spreading	blogs-06-4
we	blogs-06-5
malfunctioned	blogs-06-6
malfunctioned	blogs-06-7
was toast	blogs-06-8
using a plug-in burner , griddle , and counter top oven	blogs-06-9
on a branch of a tree with a piece of cheese in her beak	fables-01-1
observed her	fables-01-2
A Crow a Fox	fables-01-3
observed the crow	fables-01-4
The fox came and stood under the tree .	fables-01-5
flattered her	fables-01-6
The crow	fables-01-7
A Lion	fables-02-1
The Bull	fables-02-2
in a meadow	fables-02-3
The bull	fables-02-4
A lion	fables-02-5
The lion	fables-02-6
A Lion mouth	fables-02-7
The Bull	fables-02-8
watched the bull	fables-02-9
because the lion feared sharp every horn of the bull	fables-02-10
attack the bull because the lion feared sharp every horn of the bull	fables-02-11
A summit meeting named G20 summit started on eventful today .	blogs-01-1
named G20 summit	blogs-01-2
The people protested peacefully on a street .	blogs-01-3
burned a police car	blogs-01-4
The people	blogs-01-5
The people	blogs-01-6
burned a police car	blogs-01-7
The people	blogs-01-8
The people burned a police car and threw a thing at a police .	blogs-01-9
burned	blogs-01-10
smash windows of stores	blogs-01-11
smash windows of stores	blogs-01-12
smash windows of stores	blogs-01-13
A Fox	fables-04-1
invited a Stork to dinner , at which the only fare provided was a large flat dish of soup	fables-04-2
The fox only served some soup in a flat and large dish .	fables-04-3
A clever fox	fables-04-4
The fox only served some soup in a flat and large dish .	fables-04-5
because he was n't able to reach some food that was in the pitcher	fables-04-6
fitted the long bill of the stork into the long and narrow neck of the pitcher	fables-04-7
while she enjoyed her dinner	fables-04-8
was a group of students and a narrator	blogs-05-1
checked the group of students for presence	blogs-05-2
The narrator	blogs-05-3
resumed teaching	blogs-05-4
The narrator	blogs-05-5
lifted the slip	blogs-05-6
What	blogs-05-7
thought I	blogs-05-8
do	blogs-05-9
which	fables-05-1
about his yard	fables-05-2
It	fables-05-3
The agriculturist set a	fables-05-4
The agriculturist tied some fiber onto the tail of the fox and in order to retaliate .	fables-05-5
The agriculturist	fables-05-6
ignited	fables-05-7
The agriculturist	fables-05-8
The young man died on the spot of the yard of the narrator .	blogs-02-1
The young man died on the spot of the yard of the narrator .	blogs-02-2
I	blogs-02-3
because it wanted the young man to know the narrator regretting that it had not aided him	blogs-02-4
The narrator entered the house of the narrator and heard that the asleep family of the narrator was asleep .	blogs-02-5
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man .	blogs-02-6
mind	blogs-02-7
A young man	blogs-02-8
The narrator	blogs-02-9
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man .	blogs-02-10
was an orb	blogs-02-11
saw some bright flash in a group of trees that was above the narrator	blogs-02-12
The squirrel	blogs-04-1
The squirrel	blogs-04-2
The squirrel 's paw	blogs-04-3
bathed themselves in the bowl	blogs-04-4
Squirrels	blogs-04-5
I	blogs-04-6
is one of those times I wish I had a digital camera	blogs-04-7
birds	blogs-04-8
The birds literally line up on the railing and wait their turn .	blogs-04-9
An Eagle	fables-03-1
An Eagle	fables-03-2
seized it in his talons with the intention of carrying it off and devouring it	fables-03-3
A countryman witness	fables-03-4
The serpent spat some poison in the drinking vessel .	fables-03-5
The serpent spat some poison in the drinking vessel .	fables-03-6
The countryman	fables-03-7
The eagle	fables-03-8
spilled the drinking vessel	fables-03-9
Heated with his exertions , the man was about to slake his thirst with a draught from the horn , when the Eagle knocked it out of his hand , and spilled its contents upon the ground .	fables-03-10
slake his thirst with a draught from the horn , when the Eagle knocked it out of his hand , and spilled its contents upon the ground	fables-03-11
the Serpent spat some of his poison into the man 's drinking-horn	fables-03-12
in a beautiful pond	mc500.train.25.0
Will stopped singing and went outside .	mc500.train.111.0
had a good laugh at a very silly looking dog	mc500.train.111.1
She went to Miami to visit some friends .	mc500.train.0.1
ordered a salad	mc500.train.0.2
Kristin	mc500.train.0.3
to the beach	mc500.train.0.4
spend time with her friends again	mc500.train.0.5
because they were tired	mc500.train.0.6
The girls	mc500.train.0.7
she	mc500.train.0.8
enjoyed the restaurant 's special	mc500.train.0.9
called her friends Kristin and Rachel to meet at Ellen 's house	mc500.train.0.10
to a restaurant	mc500.train.0.11
at Ellen 's house	mc500.train.0.12
It was Saturday afternoon and Andrew was bored .	mc500.train.23.1
watching TV all day	mc500.train.23.2
outside the window	mc500.train.23.3
saw the newspaper by the door	mc500.train.23.4
On the front was a picture of an elephant .	mc500.train.23.5
He had been watching TV all day .	mc500.train.23.6
read the story	mc500.train.23.7
in town	mc500.train.23.8
Andrew had never been to the circus .	mc500.train.23.9
can	mc500.train.23.10
The people and animals at the circus	mc500.train.23.11
ate lots of peanuts	mc500.train.23.12
Andrew and his dad had a lot of fun at the circus .	mc500.train.23.13
to the circus	mc500.train.23.14
The elephant even went down a slide !	mc500.train.23.15
Kelly woke up one morning and went outside to her back yard .	mc500.train.18.1
Kelly woke up one morning and went outside to her back yard .	mc500.train.18.2
Kelly	mc500.train.18.3
give her mom the biggest , most beautiful bunch of flowers her mother had ever seen	mc500.train.18.4
Kelly	mc500.train.18.5
collected all of the flowers	mc500.train.18.6
in her yard	mc500.train.18.7
After Kelly collected all of the flowers , she went inside and tied them together with string .	mc500.train.18.8
gave her mother the flowers	mc500.train.18.10
Finally , her mother woke up at 8:30 AM , and Kelly was excited !	mc500.train.18.11
because it was Mother 's Day	mc500.train.18.12
The red ones	mc500.train.18.13
worried	mc500.train.18.14
Her mother 's favorite was the red one .	mc500.train.18.15
excited	mc500.train.18.16
There once was a lion .	fables-06-16
The mouse immediately began gnawing the rope of the net with the tooth of the mouse .	fables-06-17
The lion lost temper and seized the mouse with the paw of the lion .	fables-06-18
The lion	fables-06-19
spread some net in order to catch a big game	fables-06-20
mouse	fables-06-25
The lion	fables-06-26
lost temper	fables-06-27
because a mouse ran into the face of the lion	fables-06-28
owned a group of trees	blogs-03-16
storm	blogs-03-17
The narrator went back to a store named Home Depot in order to purchase a portable generator .	blogs-03-18
in Louisiana	blogs-03-19
The narrator	blogs-03-20
treats	blogs-06-16
The husband of the narrator	blogs-06-17
activated	blogs-06-18
shut the door of the oven in order to prevent the fire spreading	blogs-06-21
owned a house	blogs-06-22
A fox observed the crow and tried to discover how to get the cheese .	fables-01-14
A fox	fables-01-15
The fox	fables-01-16
of a tree	fables-01-17
The crow	fables-01-18
There once was a fat bull .	fables-02-19
because the lion wanted to eat the bull	fables-02-20
watched the bull	fables-02-21
watched the bull	fables-02-22
the bull	fables-02-23
people	blogs-01-19
The people	blogs-01-20
The police	blogs-01-21
A summit meeting named G20 summit started on eventful today .	blogs-01-22
named G20 summit	blogs-01-23
The police	blogs-01-24
some savory broth	fables-04-14
some savory broth	fables-04-15
served some soup in a flat and large dish	fables-04-16
The stork	fables-04-17
of the narrator	blogs-05-16
was a group of students and a narrator	blogs-05-17
was a group of students and a narrator	blogs-05-20
He	fables-05-14
An agriculturist	fables-05-15
An agriculturist began to be annoyed by the fox .	fables-05-16
wanted the young man to know the narrator regretting that it had not aided him	blogs-02-17
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man .	blogs-02-18
of the narrator	blogs-02-19
broke the neck of the young man	blogs-02-20
The birds bathed themselves in the bowl .	blogs-04-15
An eagle	fables-03-22
serpent	fables-03-23
seized it in order for he to devour it	fables-03-24
An eagle swooped toward a serpent and seized it in order for he to devour it .	fables-03-25
A countryman who owned a drinking vessel	fables-03-26
The serpent spat some poison in the drinking vessel .	fables-03-27
throw any rocks	mc500.train.25.2
Maxine was a happy frog that lived in a beautiful pond by the river .	mc500.train.25.3
Alyssa got to the beach after a long trip .	mc500.train.0.18
Alyssa	mc500.train.0.19
Andrew 's dad	mc500.train.23.23
left to bring home to the goldfish	mc500.train.23.24
collected all of the flowers	mc500.train.18.22
in a hurry	mc500.train.18.23
A Lion asleep in his lair	fables-06-10
in order to catch a big game	fables-06-11
The mouse	fables-06-12
recognized the voice of the lion	fables-06-13
heard	fables-06-14
gnaw the ropes with its teeth	fables-06-15
lost temper	fables-06-21
lost temper	fables-06-22
gnaw the ropes with its teeth	fables-06-23
gnaw the ropes with its teeth	fables-06-24
The narrator	blogs-03-10
An area of a neighborhood of the narrator	blogs-03-11
The tree	blogs-03-12
The narrator	blogs-03-13
The first tree	blogs-03-14
My wife children	blogs-03-15
because the broiler of the oven activated	blogs-06-10
to the ceiling of the house	blogs-06-11
The fire	blogs-06-12
shut the door of the oven in order to prevent the fire spreading	blogs-06-13
my new range	blogs-06-14
get a batch of cookies	blogs-06-15
my new range	blogs-06-19
took days of airing the house out	blogs-06-20
was a crow	fables-01-8
in the beak of the crow	fables-01-9
A Crow	fables-01-10
A fox	fables-01-11
The fox	fables-01-12
The crow felt that the fox had flattered her and cawed loudly in order for she to show him that she was able to sing .	fables-01-13
makes you	fables-02-12
A lion	fables-02-13
because the lion wanted to eat the bull	fables-02-14
advised the bull to remove every horn of the bull because every horn of the bull was ugly	fables-02-15
because every horn of the bull was ugly	fables-02-16
kill the bull	fables-02-17
of the bull	fables-02-18
The police	blogs-01-14
things	blogs-01-15
because it disagreed about a view	blogs-01-16
rebelled	blogs-01-17
Police were in full riot gear to alleviate the violence .	blogs-01-18
lapped it up with great relish	fables-04-9
The stork	fables-04-10
fitted the long bill of the stork into the long and narrow neck of the pitcher	fables-04-11
invited a stork to dine	fables-04-12
served some soup in a flat and large dish	fables-04-13
The narrator	blogs-05-10
because the not-functional elastic of the slip was dysfunctional	blogs-05-11
The narrator	blogs-05-12
The narrator was teaching the group of students language .	blogs-05-13
So Ahmed , what did you do in school today	blogs-05-14
No one , strangely , batted an eyelid .	blogs-05-15
at the front of a classroom	blogs-05-18
The narrator lifted the slip and inserted it into a bottom drawer of the desk .	blogs-05-19
A Farmer	fables-05-9
The agriculturist set a	fables-05-10
The agriculturist	fables-05-11
because the fox ran into a field	fables-05-12
ignited	fables-05-13
A few years ago , a young man died out on my front lawn when he crashed his motorbike .	blogs-02-13
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man .	blogs-02-14
A young man	blogs-02-15
The narrator	blogs-02-16
The narrator placed the bowl on the deck in order for Benjamin to drink the bowl 's water .	blogs-04-10
over the deck 's railing	blogs-04-11
The narrator placed the bowl on the deck in order for Benjamin to drink the bowl 's water .	blogs-04-12
The birds organized themselves on the deck 's railing in order for the birds to wait .	blogs-04-13
keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he 's playing outside	blogs-04-14
An Eagle	fables-03-13
The eagle fought with the serpent , and the serpent coiled around him .	fables-03-14
A countryman witness	fables-03-15
A countryman witness	fables-03-16
owned a drinking vessel	fables-03-17
A countryman witness	fables-03-18
escaped	fables-03-19
The serpent spat some poison in the drinking vessel .	fables-03-20
man	fables-03-21
in a beautiful pond	mc500.train.25.1
Will	mc500.train.111.2
Will got hungry and went inside to get a biscuit .	mc500.train.111.3
over to the living room	mc500.train.111.4
had some lemonade to drink	mc500.train.0.13
eating	mc500.train.0.14
Alyssa was happy to spend time with her friends again .	mc500.train.0.15
After going swimming and laying out , she went to her friend Ellen 's house .	mc500.train.0.16
Alyssa	mc500.train.0.21
After eating , the ladies went back to Ellen 's house to have fun .	mc500.train.0.22
Andrew 's dad	mc500.train.23.16
Maybe we can find an idea in the newspaper . ''	mc500.train.23.17
The elephant	mc500.train.23.18
did lots of tricks	mc500.train.23.19
brought it to his dad	mc500.train.23.20
Andrew and his dad	mc500.train.23.21
Andrew and his dad	mc500.train.23.22
because it was Mother 's Day	mc500.train.18.9
collected all of the flowers	mc500.train.18.17
gave her mother the flowers	mc500.train.18.18
hoped her baby sister Morgan , who was still in diapers , would n't find the flowers and eat them	mc500.train.18.19
After Kelly collected all of the flowers	mc500.train.18.20
because it was Mother 's Day	mc500.train.18.21
